year,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP4-3.4,SSP4-6.0,SSP5-8.5,,,,total 1-1.9,total 1-2.6,total 2-4.5,total 3-3.4,total 3-7.0,total 4-3.4,total 4-6.0,total 5-8.5
1854,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,0.090064024,0.090064024,0.090064024,0.090064024,0.090064024,0.090064024,0.090064024,0.090064024
1855,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,,,,0.232693211,0.232693211,0.232693211,0.232693211,0.232693211,0.232693211,0.232693211,0.232693211
1856,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,,,,0.241974741,0.241974741,0.241974741,0.241974741,0.241974741,0.241974741,0.241974741,0.241974741
1857,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,,,,0.061075628,0.061075628,0.061075628,0.061075628,0.061075628,0.061075628,0.061075628,0.061075628
1858,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,,,,0.22418198,0.22418198,0.22418198,0.22418198,0.22418198,0.22418198,0.22418198,0.22418198
1859,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,,,,0.31595309,0.31595309,0.31595309,0.31595309,0.31595309,0.31595309,0.31595309,0.31595309
1860,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,,,,0.353000828,0.353000828,0.353000828,0.353000828,0.353000828,0.353000828,0.353000828,0.353000828
1861,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,,,,0.277788992,0.277788992,0.277788992,0.277788992,0.277788992,0.277788992,0.277788992,0.277788992
1862,-0.538,-0.538,-0.538,-0.538,-0.538,-0.538,-0.538,-0.538,,,,-0.537983131,-0.537983131,-0.537983131,-0.537983131,-0.537983131,-0.537983131,-0.537983131,-0.537983131
1863,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,,,,-0.130356436,-0.130356436,-0.130356436,-0.130356436,-0.130356436,-0.130356436,-0.130356436,-0.130356436
1864,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,,,,0.196266661,0.196266661,0.196266661,0.196266661,0.196266661,0.196266661,0.196266661,0.196266661
1865,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,,,,0.299371604,0.299371604,0.299371604,0.299371604,0.299371604,0.299371604,0.299371604,0.299371604
1866,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,,,,0.340887322,0.340887322,0.340887322,0.340887322,0.340887322,0.340887322,0.340887322,0.340887322
1867,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,,,,0.342884573,0.342884573,0.342884573,0.342884573,0.342884573,0.342884573,0.342884573,0.342884573
1868,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,,,,0.350764378,0.350764378,0.350764378,0.350764378,0.350764378,0.350764378,0.350764378,0.350764378
1869,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,,,,0.377857932,0.377857932,0.377857932,0.377857932,0.377857932,0.377857932,0.377857932,0.377857932
1870,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,,,,0.375190956,0.375190956,0.375190956,0.375190956,0.375190956,0.375190956,0.375190956,0.375190956
1871,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,,,,0.394513966,0.394513966,0.394513966,0.394513966,0.394513966,0.394513966,0.394513966,0.394513966
1872,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,,,,0.387405382,0.387405382,0.387405382,0.387405382,0.387405382,0.387405382,0.387405382,0.387405382
1873,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,,,,0.127455087,0.127455087,0.127455087,0.127455087,0.127455087,0.127455087,0.127455087,0.127455087
1874,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,,,,0.268984909,0.268984909,0.268984909,0.268984909,0.268984909,0.268984909,0.268984909,0.268984909
1875,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,,,,0.279353381,0.279353381,0.279353381,0.279353381,0.279353381,0.279353381,0.279353381,0.279353381
1876,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,,,,0.2816838,0.2816838,0.2816838,0.2816838,0.2816838,0.2816838,0.2816838,0.2816838
1877,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,,,,0.322359499,0.322359499,0.322359499,0.322359499,0.322359499,0.322359499,0.322359499,0.322359499
1878,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,,,,0.335290099,0.335290099,0.335290099,0.335290099,0.335290099,0.335290099,0.335290099,0.335290099
1879,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,,,,0.332550129,0.332550129,0.332550129,0.332550129,0.332550129,0.332550129,0.332550129,0.332550129
1880,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,,,,0.295453771,0.295453771,0.295453771,0.295453771,0.295453771,0.295453771,0.295453771,0.295453771
1881,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,,,,0.317241293,0.317241293,0.317241293,0.317241293,0.317241293,0.317241293,0.317241293,0.317241293
1882,0.367,0.367,0.367,0.367,0.367,0.367,0.367,0.367,,,,0.366982528,0.366982528,0.366982528,0.366982528,0.366982528,0.366982528,0.366982528,0.366982528
1883,-0.343,-0.343,-0.343,-0.343,-0.343,-0.343,-0.343,-0.343,,,,-0.342921695,-0.342921695,-0.342921695,-0.342921695,-0.342921695,-0.342921695,-0.342921695,-0.342921695
1884,-1.766,-1.766,-1.766,-1.766,-1.766,-1.766,-1.766,-1.766,,,,-1.766231781,-1.766231781,-1.766231781,-1.766231781,-1.766231781,-1.766231781,-1.766231781,-1.766231781
1885,-0.495,-0.495,-0.495,-0.495,-0.495,-0.495,-0.495,-0.495,,,,-0.495433576,-0.495433576,-0.495433576,-0.495433576,-0.495433576,-0.495433576,-0.495433576,-0.495433576
1886,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,,,,0.058477566,0.058477566,0.058477566,0.058477566,0.058477566,0.058477566,0.058477566,0.058477566
1887,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,,,,0.128797743,0.128797743,0.128797743,0.128797743,0.128797743,0.128797743,0.128797743,0.128797743
1888,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,,,,0.283444289,0.283444289,0.283444289,0.283444289,0.283444289,0.283444289,0.283444289,0.283444289
1889,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,0.350247294,0.350247294,0.350247294,0.350247294,0.350247294,0.350247294,0.350247294,0.350247294
1890,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,,,,0.163258549,0.163258549,0.163258549,0.163258549,0.163258549,0.163258549,0.163258549,0.163258549
1891,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,,,,0.057205067,0.057205067,0.057205067,0.057205067,0.057205067,0.057205067,0.057205067,0.057205067
1892,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,,,,0.286505097,0.286505097,0.286505097,0.286505097,0.286505097,0.286505097,0.286505097,0.286505097
1893,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,,,,0.439932748,0.439932748,0.439932748,0.439932748,0.439932748,0.439932748,0.439932748,0.439932748
1894,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,,,,0.449882257,0.449882257,0.449882257,0.449882257,0.449882257,0.449882257,0.449882257,0.449882257
1895,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,,,,0.435054181,0.435054181,0.435054181,0.435054181,0.435054181,0.435054181,0.435054181,0.435054181
1896,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,,,,0.413653806,0.413653806,0.413653806,0.413653806,0.413653806,0.413653806,0.413653806,0.413653806
1897,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,,,,0.38729556,0.38729556,0.38729556,0.38729556,0.38729556,0.38729556,0.38729556,0.38729556
