year,SSP1-2.6,SSP5-8.5,,,,,total,total
2174,2.541,12.904,,,,,2.54054100069994,12.9044567007988
2175,2.554,12.935,,,,,2.55380233632086,12.935408291995
2176,2.552,12.951,,,,,2.5517674475161,12.9505161383573
2177,2.533,12.948,,,,,2.53290507154992,12.948260983889
2178,2.507,12.939,,,,,2.50721402175307,12.9386792688866
2179,2.491,12.938,,,,,2.49098666067079,12.9379737529804
2180,2.473,12.935,,,,,2.47336147626279,12.9354714594336
2181,2.462,12.939,,,,,2.46206117895593,12.9388224322702
2182,2.452,12.943,,,,,2.45197114412409,12.9428464612074
2183,2.447,12.951,,,,,2.44691229678078,12.951395499294
2184,2.449,12.967,,,,,2.44900704093082,12.9666398705726
2185,2.461,12.992,,,,,2.4614267034356,12.991710224345
2186,2.493,13.035,,,,,2.49276959528976,13.0351804962644
2187,2.496,13.051,,,,,2.49649362559553,13.0505831540627
2188,2.505,13.07,,,,,2.50457786128841,13.0697925365459
2189,2.51,13.086,,,,,2.51009044397953,13.0859346983079
2190,2.486,13.072,,,,,2.48617809000905,13.0722031628641
2191,2.465,13.061,,,,,2.46536121934914,13.0611398105574
2192,2.451,13.057,,,,,2.4514760012323,13.0566953857483
2193,2.446,13.06,,,,,2.44604788698867,13.0603716647722
2194,2.443,13.066,,,,,2.44304377592795,13.0661023915314
2195,2.45,13.082,,,,,2.45025715459288,13.0818372228075
2196,2.479,13.118,,,,,2.47862076845885,13.1183542637482
2197,2.508,13.156,,,,,2.50822676669796,13.1557911639512
2198,2.524,13.179,,,,,2.52426731521032,13.1793561048906
2199,2.515,13.177,,,,,2.51517846268457,13.1774613401111
2200,2.499,13.168,,,,,2.49901863416163,13.1682973776513
2201,2.472,13.148,,,,,2.47211318800199,13.1479666945788
2202,2.46,13.142,,,,,2.46028393280577,13.1424847094481
2203,2.45,13.139,,,,,2.45048556192618,13.1386691149832
2204,2.435,13.129,,,,,2.43516538004981,13.1290461969074
2205,2.429,13.128,,,,,2.4286272973083,13.1278677170563
2206,2.421,13.125,,,,,2.421059107137,13.125356826361
2207,2.426,13.135,,,,,2.42561577664232,13.1346582553319
2208,2.442,13.156,,,,,2.44232364055627,13.1557313792799
2209,2.461,13.178,,,,,2.46105845311157,13.1784691220616
2210,2.475,13.196,,,,,2.47461963234424,13.1958169647731
2211,2.473,13.198,,,,,2.47293584044258,13.1975758405319
2212,2.469,13.197,,,,,2.46919343181866,13.1969052723873
2213,2.452,13.182,,,,,2.45198463874671,13.1824660471624
2214,2.442,13.175,,,,,2.4416425701607,13.1746210618216
2215,2.417,13.152,,,,,2.41698110208681,13.1520961752878
2216,2.402,13.139,,,,,2.40224843202607,13.1392304226777
2217,2.399,13.138,,,,,2.39944813649886,13.1380552807595
2218,2.4,13.14,,,,,2.40022492307664,13.1400212417385
2219,2.416,13.157,,,,,2.41637306388898,13.1569768508762
2220,2.442,13.183,,,,,2.44217726887326,13.1833795872427
2221,2.461,13.202,,,,,2.46095346503018,13.2024424052244
2222,2.489,13.23,,,,,2.48892244869553,13.2303211738634
2223,2.474,13.215,,,,,2.47412874491978,13.2151326578935
2224,2.45,13.19,,,,,2.44985733624656,13.1901929804767
2225,2.429,13.168,,,,,2.42878416780334,13.1681437304114
2226,2.403,13.141,,,,,2.40348169841445,13.1414481838275
2227,2.396,13.132,,,,,2.39579721904528,13.13199533353
2228,2.384,13.119,,,,,2.38438828351876,13.1185124000267
2229,2.393,13.125,,,,,2.39323809194238,13.1250220472908
2230,2.417,13.146,,,,,2.41655361907381,13.1457837295979
2231,2.431,13.158,,,,,2.43138738146475,13.1576541664084
2232,2.434,13.156,,,,,2.43350664245779,13.1564443521587
2233,2.441,13.161,,,,,2.44122839971162,13.1605149387613
2234,2.428,13.143,,,,,2.42750080425277,13.1427430889443
2235,2.415,13.126,,,,,2.41518410289599,13.1261139643089
2236,2.39,13.096,,,,,2.39001838429377,13.0962571384425
2237,2.379,13.08,,,,,2.37907145365369,13.0802046495728
2238,2.372,13.067,,,,,2.37150537754646,13.0670046735836
2239,2.371,13.061,,,,,2.37121479070698,13.0610997689265
2240,2.382,13.066,,,,,2.38212658427891,13.0661890347936
2241,2.411,13.089,,,,,2.41108386016952,13.0891780715427
2242,2.437,13.109,,,,,2.43672187325079,13.108575439946
2243,2.438,13.104,,,,,2.43843147484081,13.1038112822265
2244,2.433,13.091,,,,,2.43284312540645,13.0914701845116
2245,2.411,13.062,,,,,2.41050602097614,13.0621687819227
2246,2.388,13.032,,,,,2.38767202633592,13.0321906654081
2247,2.377,13.014,,,,,2.37704362381483,13.0141769377404
2248,2.361,12.991,,,,,2.36119868276619,12.990636108242
2249,2.351,12.972,,,,,2.35089102228293,12.9724875750671
2250,2.343,12.956,,,,,2.34267477340907,12.9564112527812
2251,2.34,12.945,,,,,2.33954849669134,12.9451691786861
2252,2.347,12.945,,,,,2.34716538357021,12.9447852920721
2253,2.366,12.956,,,,,2.36562455118017,12.9556815857046
2254,2.387,12.97,,,,,2.38702983141546,12.9699535107214
2255,2.389,12.965,,,,,2.3886493046888,12.9648287415584
2256,2.392,12.962,,,,,2.39247504042909,12.962337540678
2257,2.386,12.95,,,,,2.38610060382675,12.9499407573522
2258,2.369,12.927,,,,,2.36860940187312,12.9267446076609
2259,2.356,12.908,,,,,2.35579772883142,12.9084443864753
2260,2.333,12.88,,,,,2.33282286964756,12.8802374423539
2261,2.321,12.863,,,,,2.32083524106438,12.8632184719593
2262,2.32,12.857,,,,,2.31985794078698,12.8574587393604
2263,2.322,12.855,,,,,2.32229061827724,12.8552890538314
2264,2.342,12.87,,,,,2.34174571398067,12.8704007220974
2265,2.37,12.894,,,,,2.36977522190065,12.8942119747903
2266,2.391,12.911,,,,,2.39060306556352,12.9109443158836
2267,2.41,12.926,,,,,2.41003912525185,12.9264080689694
2268,2.385,12.898,,,,,2.38517641681584,12.8976969240578
2269,2.366,12.875,,,,,2.36578909184973,12.8745807564773
2270,2.341,12.846,,,,,2.34055426489755,12.8457540565935
2271,2.325,12.827,,,,,2.32482884199871,12.8265028633583
2272,2.31,12.808,,,,,2.30980413860299,12.8080839801026
2273,2.308,12.803,,,,,2.30820674939819,12.8031771896799
2274,2.323,12.815,,,,,2.32298467676208,12.814664360547
2275,2.345,12.833,,,,,2.34499261171607,12.8334749342484
2276,2.36,12.846,,,,,2.36044510680625,12.8458551270271
2277,2.358,12.841,,,,,2.35844897322373,12.840829544111
2278,2.353,12.833,,,,,2.35325095526189,12.8326655860825
2279,2.339,12.815,,,,,2.33895404943821,12.8154743519659
2280,2.315,12.788,,,,,2.31453522859167,12.7881991835816
2281,2.301,12.772,,,,,2.3011643750325,12.7720117010556
2282,2.295,12.763,,,,,2.2951969892746,12.7632805821321
2283,2.291,12.757,,,,,2.29149886583941,12.7568608060954
2284,2.302,12.764,,,,,2.30166045324171,12.7643505089368
2285,2.329,12.789,,,,,2.32857058958601,12.7885979384168
2286,2.357,12.814,,,,,2.35691545608644,12.8143620231527
2287,2.365,12.82,,,,,2.36522231579878,12.8201046759219
2288,2.363,12.815,,,,,2.36279775228163,12.8151426517044
2289,2.327,12.777,,,,,2.32747572045727,12.7773419282977
2290,2.318,12.766,,,,,2.31829088551649,12.7656864715944
2291,2.299,12.744,,,,,2.29883191005404,12.743775617041
2292,2.282,12.725,,,,,2.28226305218009,12.7247684783598
2293,2.272,12.713,,,,,2.2724341888255,12.712570778411
2294,2.278,12.716,,,,,2.27783281178022,12.7156101429011
2295,2.303,12.738,,,,,2.30268277586989,12.7380918680875
2296,2.325,12.758,,,,,2.32457355220562,12.7576790699434
2297,2.348,12.779,,,,,2.34811578767772,12.7789451555475
2298,2.347,12.776,,,,,2.34727461712675,12.7758112840841
2299,2.327,12.753,,,,,2.32678734862346,12.7530174320097
2300,2.3,12.724,,,,,2.29984759424929,12.7237836898308
2301,2.299,12.72,,,,,2.29860157169311,12.7203271011566
2302,2.297,12.717,,,,,2.29734133990811,12.7168646631649
2303,2.296,12.713,,,,,2.2960897887239,12.7134395271672
2304,2.295,12.71,,,,,2.29483073286535,12.7099975045947
2305,2.294,12.707,,,,,2.29355569549095,12.7065574936017
2306,2.292,12.703,,,,,2.29228760346848,12.7031319241527
2307,2.291,12.7,,,,,2.29103529556547,12.6997212321588
2308,2.29,12.696,,,,,2.28977088344471,12.6963153367077
2309,2.289,12.693,,,,,2.28851615652809,12.6929222342627
2310,2.287,12.69,,,,,2.28725064961051,12.6895725219087
2311,2.286,12.686,,,,,2.2859992748177,12.6862844640682
2312,2.285,12.683,,,,,2.2847484239613,12.682987573372
2313,2.284,12.68,,,,,2.28351552459353,12.6796922596041
2314,2.282,12.676,,,,,2.28226590787132,12.6763848305904
2315,2.281,12.673,,,,,2.28102019142506,12.6731173007168
2316,2.28,12.67,,,,,2.27979349236732,12.6698301367295
2317,2.279,12.667,,,,,2.2785638357317,12.6665508007715
2318,2.277,12.663,,,,,2.2773390678049,12.6633146371475
2319,2.276,12.66,,,,,2.27611547783971,12.6600824433493
2320,2.275,12.657,,,,,2.27489190976743,12.6568647484513
2321,2.274,12.654,,,,,2.27368776717643,12.6536749368355
2322,2.272,12.651,,,,,2.27247014767001,12.6505025881621
2323,2.271,12.647,,,,,2.27126714931756,12.6473371067044
2324,2.27,12.644,,,,,2.27006519188369,12.6441497945868
2325,2.269,12.641,,,,,2.26886435406103,12.640940557088
